name,salary_from,salary_to,salary_currency,area_name,published_at
Junior Product Manager,,,,Москва,2022-12-17T22:55:55+0300
3d-художник персонажей для анимационного сериала,1500,2700,USD,Москва,2022-12-17T14:32:36+0300
Дизайнер мобильных приложений - 2Д художник,60000,,RUR,Санкт-Петербург,2022-12-17T15:50:36+0300
Ведущий инженер по тестированию (QA Lead),300000,350000,RUR,Москва,2022-12-17T12:56:29+0300
Junior Web Master / Frontend Developer,,,,Санкт-Петербург,2022-12-17T15:56:26+0300
Менеджер маркетплейсов,40000,,RUR,Екатеринбург,2022-12-17T16:40:31+0300
Диспетчер,50000,50000,RUR,Москва,2022-12-17T11:45:05+0300
Инженер по тестированию (QA),,,,Санкт-Петербург,2022-12-17T14:32:33+0300
Системный администратор,60000,60000,RUR,Иркутск,2022-12-17T04:09:44+0300
Middle Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),,,,Санкт-Петербург,2022-12-17T16:10:59+0300
Frontend-разработчик,120000,,RUR,Казань,2022-12-17T13:45:52+0300
Junior\Middle Android developer,90000,150000,RUR,Санкт-Петербург,2022-12-17T13:45:34+0300
Цифровой художник,50000,,RUR,Томск,2022-12-17T14:12:11+0300
UI/UX Designer / Продуктовый дизайнер,,150000,RUR,Москва,2022-12-17T17:23:38+0300
Графический дизайнер с базовыми навыками видеомонтажа,5000000,,UZS,Ташкент,2022-12-17T20:48:35+0300
Менеджер проекта,60000,100000,RUR,Томск,2022-12-17T20:52:21+0300
Frontend-разработчик (React),110000,170000,RUR,Пермь,2022-12-17T13:22:16+0300
Журналист,100000,300000,RUR,Москва,2022-12-17T11:12:33+0300
Специалист службы мониторинга,,40000,RUR,Санкт-Петербург,2022-12-17T12:27:01+0300
Программист-разработчик игр (Junior),1000,2000,USD,Санкт-Петербург,2022-12-17T19:31:19+0300
Frontend разработчик (React.js),140000,180000,RUR,Москва,2022-12-17T19:36:32+0300
Business/System Analyst,2500,4000,USD,Тбилиси,2022-12-17T12:53:02+0300
Техник по эксплуатации,50000,60000,RUR,Москва,2022-12-17T21:16:19+0300
Payment Manager iGaming/Betting,,,,Москва,2022-12-17T18:03:29+0300
Python automation developer,50000,120000,RUR,Москва,2022-12-17T11:09:15+0300
Инженер по сборке компьютеров и серверов,160000,,RUR,Екатеринбург,2022-12-17T13:35:02+0300
Младший системный администратор,50000,60000,RUR,Москва,2022-12-17T19:35:48+0300
Графический дизайнер,50000,60000,RUR,Москва,2022-12-17T15:36:28+0300
Junior веб-разработчик PHP в веб-cтудию (ИТ-компания),30000,65000,RUR,Москва,2022-12-17T19:45:36+0300
Авитолог,60000,70000,RUR,Москва,2022-12-17T17:34:19+0300
Инженер слаботочных систем,90000,140000,RUR,Москва,2022-12-17T17:09:54+0300
Java-разработчик,,,,Москва,2022-12-17T14:32:50+0300
PHP-разработчик (Laravel),70000,150000,RUR,Санкт-Петербург,2022-12-17T17:04:45+0300
Сервисный специалист по обслуживанию и ремонту оборудования,60000,100000,RUR,Крымск,2022-12-17T07:41:27+0300
Старший системный администратор,,115000,RUR,Санкт-Петербург,2022-12-17T11:39:45+0300
Аналитик Информационной Безопасности (Junior / Middle),50000,100000,RUR,Санкт-Петербург,2022-12-17T19:13:10+0300
Back Разработчик,75000,120000,RUR,Санкт-Петербург,2022-12-17T16:57:34+0300
Mobile QA Engineer,,,,Москва,2022-12-17T14:35:48+0300
Middle+ Java Developer (Backend),160000,,RUR,Санкт-Петербург,2022-12-17T15:01:30+0300
Менеджер по информационным технологиям,300000,500000,KZT,Астана,2022-12-17T13:06:54+0300
Тестировщик ПО,70000,170000,RUR,Москва,2022-12-17T18:00:37+0300
Корреспондент (Журналист),120000,,RUR,Москва,2022-12-17T06:47:34+0300
Дизайнер (удаленно),,45000,RUR,Санкт-Петербург,2022-12-17T12:32:22+0300
Токарь 4-5 разряда,90000,110000,RUR,Санкт-Петербург,2022-12-17T17:23:24+0300
Разработчик Flutter,120000,,RUR,Санкт-Петербург,2022-12-17T09:42:43+0300
Выездной сервисный инженер,,,,Старый Оскол,2022-12-17T12:40:03+0300
ИТ-специалист,55000,60000,RUR,Смоленск,2022-12-17T17:40:40+0300
Стажер — 3D-дизайнер по персонажам (с уклоном в анимацию),30000,50000,RUR,Санкт-Петербург,2022-12-17T14:13:11+0300
Мастер сервиса (Хоккейные магазины),55000,100000,RUR,Москва,2022-12-17T11:46:22+0300
Специалист второй линии поддержки,,,,Новосибирск,2022-12-17T12:03:35+0300
Копирайтер для блога в онлайн-школу,40000,,RUR,Москва,2022-12-17T14:25:40+0300
Директор по информационным технологиям (CIO / Chief Information Officer),120000,,RUR,Екатеринбург,2022-12-17T07:39:43+0300
Менеджер по созданию сайтов,80000,80000,RUR,Москва,2022-12-17T09:37:59+0300
Аналитик данных,30000,40000,RUR,Брянск,2022-12-17T09:01:00+0300
Механик по выпуску автотранспорта,58000,,RUR,Красноярск,2022-12-17T11:38:04+0300
Веб-дизайнер,50000,,RUR,Хабаровск,2022-12-17T08:26:49+0300
Инженер-механик (производство),100000,150000,RUR,Москва,2022-12-17T14:14:06+0300
Копирайтер / SMM-копирайтер,100000,200000,KZT,Астана,2022-12-17T11:46:18+0300
Ночной дежурный технический специалист,50000,,RUR,Мытищи,2022-12-17T15:36:13+0300
Ведущий программист 1С,,350000,RUR,Москва,2022-12-17T12:33:29+0300
"Механик, Мирный",,,,Мирный (Республика Саха (Якутия)),2022-12-17T13:36:52+0300
Менеджер службы поддержки (Чаты) / Support manager (HelpDesk),35000,45000,RUR,Санкт-Петербург,2022-12-17T14:40:28+0300
Дизайнер мобильных приложений - 2Д художник,60000,,RUR,Москва,2022-12-17T15:50:36+0300
Инженер по монтажу и сервису,70000,,RUR,Шатск,2022-12-17T16:19:53+0300
PHP-разработчик,,,,Минск,2022-12-17T16:03:45+0300
Ученик мастера для сервисного центра,60000,200000,KZT,Шымкент,2022-12-17T07:22:45+0300
Программист 1C,150000,300000,RUR,Москва,2022-12-17T09:07:00+0300
Столяр-станочник,80000,100000,RUR,Дмитров,2022-12-17T15:35:37+0300
Системный администратор (техподдержка),70000,,RUR,Москва,2022-12-17T14:44:00+0300
Тестировщик WEB приложений,,,,Тольятти,2022-12-17T11:08:43+0300
Дизайнер-верстальщик,61000,61000,RUR,Москва,2022-12-17T18:49:27+0300
Специалист по бизнес системам (SAP),,,,Москва,2022-12-17T16:59:46+0300
Удаленный Проектный менеджер в ИТ сфере,50000,,RUR,Самара,2022-12-17T22:44:55+0300
Онлайн-консультант,35000,,RUR,Москва,2022-12-17T07:37:01+0300
Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах,74000,74000,RUR,Усть-Луга,2022-12-17T16:15:58+0300
Специалист группы поддержки,,,,Санкт-Петербург,2022-12-17T12:09:41+0300
Java-разработчик,230000,300000,RUR,Томск,2022-12-17T11:23:58+0300
Администратор базы данных инфраструктуры,,,,Ташкент,2022-12-17T12:07:03+0300
Специалист технической поддержки в IT - компанию,,40000,RUR,Ростов-на-Дону,2022-12-17T13:08:14+0300
Графический дизайнер,250000,,KZT,Алматы,2022-12-17T08:13:48+0300
3D artist (gamedev),,,,Москва,2022-12-17T21:55:47+0300
Системный администратор,100000,150000,RUR,Краснодар,2022-12-17T15:05:37+0300
Начальник отдела гарантийного ремонта и сервисного обслуживания,50000,60000,RUR,Ковров,2022-12-17T15:09:48+0300
Графический дизайнер (создание макетов для печати),36000,40000,RUR,Воронеж,2022-12-17T13:01:05+0300
Креативный продюсер фэшн-съемок,,,,Санкт-Петербург,2022-12-17T12:40:27+0300
Аналитик бизнес-процессов,200000,300000,RUR,Санкт-Петербург,2022-12-17T12:20:24+0300
"Бизнес-аналитик, г. Самара",60000,,RUR,Самара,2022-12-17T12:48:16+0300
TechLead (Banking),400000,700000,RUR,Москва,2022-12-17T12:57:59+0300
Инженер технической поддержки ( удалённно),,,,Владивосток,2022-12-17T16:56:50+0300
Специалист технической поддержки,50000,,RUR,Красноярск,2022-12-17T03:08:07+0300
Бизнес-аналитик / консультант (стажер),40000,55000,RUR,Казань,2022-12-17T13:18:09+0300
Специалист технической поддержки (телеком),,65000,RUR,Москва,2022-12-17T11:48:18+0300
Слесарь-ремонтник / Наладчик оборудования,70000,,RUR,Санкт-Петербург,2022-12-17T14:29:07+0300
Front-end VueJS разработчик,70000,90000,RUR,Краснодар,2022-12-17T11:38:41+0300
Администратор баз данных SQL,60000,,RUR,Ростов-на-Дону,2022-12-17T17:09:32+0300
Flutter Middle Developer,,,,Москва,2022-12-17T15:45:59+0300
Помощник системного администратора,42500,45000,RUR,Хабаровск,2022-12-17T10:25:57+0300
Инженер-схемотехник,75000,,RUR,Иркутск,2022-12-17T11:23:12+0300
Стажер (системный/бизнес аналитик),,40000,RUR,Санкт-Петербург,2022-12-17T14:17:21+0300
Специалист 1С (можно без опыта),30000,100000,RUR,Краснодар,2022-12-17T09:21:38+0300
Специалист группы поддержки,,,,Саратов,2022-12-17T12:09:24+0300
Дизайнер,55000,,RUR,Санкт-Петербург,2022-12-17T12:32:45+0300
Системный администратор (удалённо),25000,35000,RUR,Омск,2022-12-17T10:33:03+0300
Оператор токарного станка с ЧПУ,50000,,RUR,Волгоград,2022-12-17T16:37:37+0300
Прессовщик изделий из пластмасс,50000,,RUR,Тула,2022-12-17T14:02:31+0300
Backend программист (SPRING),1500,5500,EUR,Москва,2022-12-17T18:49:58+0300
